,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
348,Isangel,VU,-19.55,169.2667,74.44,50,64,4.54,broken clouds
349,Namatanai,PG,-3.6667,152.4333,77.74,91,100,7.65,moderate rain
350,Chimbote,PE,-9.0853,-78.5783,68.49,85,59,9.22,broken clouds
351,Tiarei,PF,-17.5333,-149.3333,84.22,66,4,7.45,clear sky
352,Lubyany,RU,56.0378,51.4,56.84,78,0,1.9,clear sky
353,Ippy,CF,6.2679,21.2247,66.92,97,58,2.01,broken clouds
354,Panaba,MX,21.2833,-88.2667,88.5,54,16,16.89,few clouds
355,Yulara,AU,-25.2406,130.9889,44.38,56,84,9.84,broken clouds
356,Cestas,FR,44.7435,-0.6791,64.06,70,0,4.61,clear sky
357,Russell,US,32.3502,-85.1999,85.96,63,90,5.35,overcast clouds
358,Moose Factory,CA,51.2585,-80.6094,42.33,40,99,9.89,overcast clouds
359,Nyurba,RU,63.2842,118.3319,54.3,70,95,5.73,overcast clouds
360,Faya,SA,18.3851,42.4509,70.32,23,5,6.35,clear sky
361,Samarai,PG,-10.6167,150.6667,78.91,69,94,16.37,overcast clouds
362,Pulandian,CN,39.3953,121.9669,59.13,86,32,7.81,moderate rain
363,Makakilo City,US,21.3469,-158.0858,84.61,54,75,8.23,broken clouds
364,Mana,GF,5.6592,-53.7767,75.13,93,100,7.9,overcast clouds
365,Pyatnitskoye,RU,50.4233,37.8273,63.86,62,86,4.32,overcast clouds
366,Neiafu,TO,-18.65,-173.9833,79.48,83,75,4.61,broken clouds
367,Hvolsvollur,IS,63.7533,-20.2243,47.8,68,25,11.7,scattered clouds
368,Mocuba,MZ,-16.8392,36.9856,60.6,97,0,1.86,clear sky
369,Vanimo,PG,-2.6741,141.3028,80.33,80,86,3.06,overcast clouds
370,Ternate,ID,0.8,127.4,81.18,78,58,3.31,broken clouds
371,Matamoros,MX,25.5333,-103.25,99.1,19,13,7.49,few clouds
372,Gananoque,CA,44.3334,-76.1661,62.19,57,89,7.54,overcast clouds
373,Haltom City,US,32.7996,-97.2692,89.89,62,75,1.99,broken clouds
374,Donskoye,RU,45.4552,41.9741,66.33,92,57,2.57,broken clouds
375,Uvira,CD,-3.4067,29.1458,72.0,83,27,3.98,scattered clouds
376,Roald,NO,62.5833,6.1333,51.17,87,90,11.5,overcast clouds
377,Morwell,AU,-38.2333,146.4,46.9,91,85,3.0,overcast clouds
378,Guilin,CN,25.2819,110.2864,73.51,98,100,0.78,overcast clouds
379,Sokyryany,UA,48.4475,27.4168,56.89,97,96,3.8,overcast clouds
380,Rioja,AR,-29.4111,-66.8507,64.38,47,87,3.09,overcast clouds
381,Homer,US,59.6425,-151.5483,64.08,59,1,13.8,clear sky
382,Dongobesh,TZ,-4.0667,35.3833,51.85,94,89,5.59,overcast clouds
383,Lazaro Cardenas,MX,17.9583,-102.2,87.21,50,100,10.89,overcast clouds
384,Udala,ES,43.0778,-2.5125,59.83,96,100,2.57,overcast clouds
385,Leshukonskoye,RU,64.8989,45.7622,37.44,96,100,3.27,overcast clouds
386,Huaihua,CN,27.5494,109.9592,66.42,95,100,2.46,overcast clouds
387,Dzerzhinskoye,RU,56.8344,95.2283,48.43,91,62,5.23,broken clouds
388,Yumen,CN,40.2833,97.2,65.89,20,98,6.69,overcast clouds
389,Baykit,RU,61.67,96.37,42.64,68,100,9.28,overcast clouds
390,Aparecida Do Taboado,BR,-20.0867,-51.0936,76.69,50,95,2.06,overcast clouds
391,Awjilah,LY,29.1081,21.2869,79.45,30,9,9.98,clear sky
392,Tiruchchendur,IN,8.4833,78.1167,80.08,77,60,7.38,broken clouds
393,Shelton,US,41.3165,-73.0932,80.85,45,20,1.01,few clouds
394,Tazmalt,DZ,36.3868,4.3989,68.92,70,95,4.21,overcast clouds
395,Bar Harbor,US,44.3876,-68.2039,69.35,31,1,11.01,clear sky
396,Mubi,NG,10.2676,13.2644,85.01,37,61,3.58,broken clouds
397,Cururupu,BR,-1.8283,-44.8683,76.53,86,40,3.24,scattered clouds
398,Geraldton,AU,-28.7667,114.6,67.12,52,40,8.46,scattered clouds
399,Alacranes,CU,22.7675,-81.5675,81.09,54,100,10.09,light rain
400,Maracas,BR,-13.4411,-40.4308,65.35,51,1,5.91,clear sky
401,Mandalgovi,MN,45.7625,106.2708,47.25,37,64,11.34,broken clouds
402,Deputatskiy,RU,69.3,139.9,52.57,50,40,8.16,scattered clouds
403,Songea,TZ,-10.6833,35.65,54.46,74,1,1.52,clear sky
404,Sorong,ID,-0.8833,131.25,77.77,88,78,5.93,broken clouds
405,Yar-Sale,RU,66.8333,70.8333,33.8,71,74,5.73,broken clouds
406,Itarema,BR,-2.9248,-39.9167,79.83,77,10,14.27,clear sky
407,Lata,PT,40.1629,-8.3327,65.71,86,100,2.39,overcast clouds
408,Nara,JP,34.6851,135.8049,64.49,83,99,2.62,overcast clouds
409,Samsun,TR,41.25,36.3333,54.36,94,75,3.22,broken clouds
410,Aloleng,PH,16.1307,119.7824,83.82,76,73,6.15,broken clouds
411,Gornyy,RU,55.1153,83.9059,42.8,66,77,14.27,broken clouds
412,Nhulunbuy,AU,-12.2333,136.7667,77.61,69,75,9.22,broken clouds
413,Bathsheba,BB,13.2167,-59.5167,80.37,69,42,16.11,scattered clouds
414,Port-Cartier,CA,50.0334,-66.8654,45.93,44,83,16.62,broken clouds
415,Gamba,GA,-2.65,10.0,75.43,92,99,3.94,overcast clouds
416,Te Anau,NZ,-45.4167,167.7167,40.68,94,100,1.12,overcast clouds
417,Chifeng,CN,42.2683,118.9636,53.2,62,79,12.66,light rain
418,Almeirim,BR,-1.5233,-52.5817,78.4,86,59,5.01,broken clouds
419,Qandala,SO,11.472,49.8728,86.92,62,93,2.21,overcast clouds
420,Batsfjord,NO,70.6345,29.7185,39.13,83,93,24.49,overcast clouds
421,Laguna,US,38.421,-121.4238,89.44,28,1,4.0,clear sky
422,Pilar,BR,-9.5972,-35.9567,76.93,83,80,3.76,broken clouds
423,Kangaatsiaq,GL,68.3065,-53.4641,36.57,85,97,4.61,overcast clouds
424,Baruun-Urt,MN,46.6806,113.2792,43.68,47,5,8.01,clear sky
425,Kurchatov,RU,51.6601,35.6521,63.01,89,93,3.8,overcast clouds
426,Adamovka,RU,51.5223,59.9396,58.05,51,0,10.51,clear sky
427,Qui Nhon,VN,13.7667,109.2333,78.82,88,100,3.44,overcast clouds
428,Huarmey,PE,-10.0681,-78.1522,69.91,84,33,8.32,scattered clouds
429,Alofi,NU,-19.0595,-169.9187,78.33,77,25,7.9,scattered clouds
430,Leon Valley,US,29.4952,-98.6186,92.37,56,40,5.01,scattered clouds
431,Tynda,RU,55.1667,124.7167,42.62,86,100,3.02,light rain
432,Ekhabi,RU,53.5102,142.9671,41.52,76,58,8.55,broken clouds
433,Husavik,IS,66.0449,-17.3389,52.23,42,40,11.39,scattered clouds
434,Tanout,NE,14.9709,8.8879,85.03,6,45,10.8,scattered clouds
435,Mayo,US,38.8876,-76.5119,86.02,51,29,5.99,scattered clouds
436,Hukuntsi,BW,-24.0,21.75,57.58,30,1,7.52,clear sky
437,Borba,BR,-4.3878,-59.5939,82.6,62,58,0.45,broken clouds
438,Palakkodu,IN,12.3,78.0833,75.22,69,2,7.0,clear sky
439,Sidney,AU,-33.8679,151.2073,56.71,71,20,1.01,few clouds
440,Goussainville,FR,49.032,2.474,57.9,74,0,5.75,clear sky
441,Cap-Chat,CA,49.1001,-66.6821,46.9,50,91,19.42,overcast clouds
442,Moulins,FR,46.5,3.3333,52.59,96,4,2.84,clear sky
443,Gorontalo,ID,0.5412,123.0595,75.69,94,24,3.2,few clouds
444,Blackfoot,US,43.1905,-112.345,75.34,26,66,11.23,broken clouds
445,Banswara,IN,23.55,74.45,83.97,68,53,15.61,broken clouds
446,Komsomolskiy,UZ,40.4272,71.7189,71.02,52,11,4.61,few clouds
447,Semey,KZ,50.4111,80.2275,55.54,61,6,14.12,clear sky
448,Bacolod,PH,10.6667,122.95,80.35,81,98,1.97,overcast clouds
449,Charagua,BO,-19.8,-63.2167,74.86,56,100,6.17,light rain
450,Sioux Lookout,CA,50.1001,-91.917,55.85,17,38,5.32,scattered clouds
451,Guanica,PR,17.9716,-66.908,83.25,85,79,5.01,broken clouds
452,Tomatlan,MX,19.9333,-105.25,91.26,40,76,11.25,broken clouds
453,Talnakh,RU,69.4865,88.3972,14.86,84,33,1.83,scattered clouds
454,Chegdomyn,RU,51.1167,133.0167,48.49,86,100,0.96,overcast clouds
455,Grindavik,IS,63.8424,-22.4338,46.87,66,20,22.7,few clouds
456,Hambantota,LK,6.1241,81.1185,79.14,100,75,22.39,broken clouds
457,Yerkoy,TR,39.6381,34.4672,64.22,48,88,2.15,overcast clouds
458,Joao Pinheiro,BR,-17.7425,-46.1725,74.7,54,68,2.21,broken clouds
459,Union,US,40.6334,-74.2663,84.11,38,1,10.36,clear sky
460,Axim,GH,4.8699,-2.2405,80.82,83,77,8.21,broken clouds
461,Naze,JP,28.3667,129.4833,67.12,93,100,3.87,light rain
462,Havoysund,NO,70.9963,24.6622,36.48,70,98,20.94,overcast clouds
463,Touros,BR,-5.1989,-35.4608,77.9,81,5,13.15,clear sky
464,Stokmarknes,NO,68.5646,14.9108,45.5,83,92,5.77,overcast clouds
465,Shimoda,JP,34.6667,138.95,70.11,77,100,16.55,overcast clouds
466,Magistralnyy,RU,56.1725,107.4458,35.73,59,0,2.48,clear sky
467,Luwuk,ID,-0.9516,122.7875,76.57,84,20,4.47,few clouds
468,Mongoumba,CF,3.6415,18.5936,71.62,96,90,1.36,overcast clouds
469,Hanamaki,JP,39.3833,141.1167,58.32,94,98,10.65,overcast clouds
470,La Cruz,MX,23.9167,-106.9,89.47,61,87,8.99,overcast clouds
471,San Patricio,US,28.017,-97.5169,88.52,68,37,18.43,scattered clouds
472,Raudeberg,NO,61.9875,5.1352,52.47,87,2,15.73,clear sky
473,Bangassou,CF,4.7413,22.8184,68.22,96,100,1.95,overcast clouds
474,Beruwala,LK,6.4788,79.9828,80.22,84,92,12.97,overcast clouds
475,Desnogorsk,RU,54.1508,33.2815,58.06,80,100,3.22,light rain
476,Raychikhinsk,RU,49.7838,129.4121,50.49,85,99,6.2,overcast clouds
477,Victor Harbor,AU,-35.5667,138.6167,57.0,85,97,7.31,overcast clouds
478,Karasjok,NO,69.4719,25.5112,37.51,90,95,16.53,overcast clouds
479,Adrar,MR,20.5022,-10.0711,95.29,15,70,9.06,broken clouds
480,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,79,0,14.34,clear sky
481,Florianopolis,BR,-27.6146,-48.5012,63.63,71,0,2.3,clear sky
482,Bac Lieu,VN,9.285,105.7244,78.17,86,80,5.7,broken clouds
483,North Bend,US,43.4065,-124.2243,60.93,69,95,10.09,overcast clouds
484,Belaya Gora,RU,68.5333,146.4167,59.14,37,3,10.42,clear sky
485,Namie,JP,37.4833,141.0,68.72,66,2,8.16,clear sky
486,Teya,RU,60.3778,92.6267,45.93,91,100,6.04,light rain
487,Khorinsk,RU,52.1657,109.7726,40.98,77,41,1.52,scattered clouds
488,Sampit,ID,-2.5333,112.95,75.11,96,8,1.28,clear sky
489,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,77.16,78,89,10.13,overcast clouds
490,Lagunas,PE,-5.2269,-75.6753,82.85,74,94,1.97,overcast clouds
491,Nova Gradiska,HR,45.255,17.3831,58.01,95,100,17.18,moderate rain
492,Valdivia,CL,-39.8142,-73.2459,55.49,82,9,13.09,clear sky
493,Bumba,CD,2.1833,22.4667,71.22,96,100,1.74,overcast clouds
494,Acarau,BR,-2.8856,-40.12,79.99,78,12,15.57,few clouds
495,Shaoxing,CN,30.011,120.5715,73.35,87,96,5.7,overcast clouds
496,Taoudenni,ML,22.6783,-3.9836,101.12,13,59,10.94,broken clouds
497,Marmato,CO,5.4784,-75.5927,75.04,95,75,1.48,broken clouds
498,Paamiut,GL,61.994,-49.6678,37.87,86,2,10.85,clear sky
499,Hoopstad,ZA,-27.8327,25.9083,55.8,36,95,7.0,overcast clouds
500,Ilhabela,BR,-23.7781,-45.3581,67.93,83,3,5.32,clear sky
501,Gamboma,CG,-1.8764,15.8644,78.44,63,99,0.74,overcast clouds
502,Labuhan,ID,-6.8844,112.2051,77.49,87,12,7.0,light rain
503,Taloqan,AF,36.7361,69.5345,72.84,28,13,4.97,few clouds
504,Aksarka,RU,66.5606,67.7975,33.04,67,44,5.64,scattered clouds
505,Killybegs,IE,54.6333,-8.45,48.45,97,100,2.64,light rain
506,Marsh Harbour,BS,26.5412,-77.0636,77.76,72,100,9.86,overcast clouds
507,Bartica,GY,6.4,-58.6167,79.12,98,100,2.08,light rain
508,Madang,PG,-5.2246,145.7966,77.83,89,99,1.59,overcast clouds
509,Dawson Creek,CA,55.7666,-120.2362,45.99,96,100,4.12,overcast clouds
510,Richards Bay,ZA,-28.783,32.0377,67.17,63,99,11.79,overcast clouds
511,Waitati,NZ,-45.75,170.5667,47.8,83,100,4.79,light rain
512,Douentza,ML,14.9951,-2.9517,99.01,13,93,3.89,overcast clouds
513,Aripuana,BR,-9.1667,-60.6333,79.25,60,20,0.36,few clouds
514,Kalmunai,LK,7.4167,81.8167,79.12,75,43,4.92,scattered clouds
515,Tuatapere,NZ,-46.1333,167.6833,49.82,93,100,2.89,overcast clouds
516,Xiaoweizhai,CN,26.1903,107.5125,67.78,95,100,1.97,overcast clouds
517,Ahipara,NZ,-35.1667,173.1667,60.93,78,90,12.95,overcast clouds
518,Formosa Do Rio Preto,BR,-11.0483,-45.1931,75.07,39,25,1.88,scattered clouds
519,Garowe,SO,8.4054,48.4845,77.88,59,100,14.18,overcast clouds
520,Lesnoy,RU,57.6198,63.0784,41.54,77,9,3.15,clear sky
521,Sibolga,ID,1.7427,98.7792,76.66,88,96,2.46,overcast clouds
522,Champawat,IN,29.3333,80.1,62.33,75,64,2.91,broken clouds
523,Lufilufi,WS,-13.8745,-171.5986,87.58,71,17,7.14,few clouds
524,Ratnagiri,IN,16.9833,73.3,84.0,72,99,5.55,overcast clouds
525,Nuuk,GL,64.1835,-51.7216,38.01,87,6,4.61,clear sky
526,Northam,GB,51.0333,-4.2167,54.01,85,100,3.83,light rain
527,Umm Kaddadah,SD,13.6017,26.6876,85.01,11,78,10.54,broken clouds
528,Sept-Iles,CA,50.2001,-66.3821,46.26,48,95,10.0,overcast clouds
529,Wajir,KE,1.7471,40.0573,77.74,66,90,16.69,overcast clouds
530,Yerbogachen,RU,61.2767,108.0108,49.55,71,99,2.04,overcast clouds
531,Rovenki,UA,48.0833,39.3776,60.4,78,83,5.77,broken clouds
532,Havre-Saint-Pierre,CA,50.2334,-63.5986,48.56,40,90,24.16,overcast clouds
533,Torremolinos,ES,36.6204,-4.4998,63.95,90,75,1.14,light rain
534,Dwarka,IN,22.2394,68.9678,83.77,81,98,13.13,overcast clouds
535,Andilamena,MG,-17.0167,48.5833,55.78,98,12,2.55,few clouds
536,Katobu,ID,-4.9408,122.5276,76.33,88,75,6.29,broken clouds
537,Maceio,BR,-9.6658,-35.7353,78.24,83,75,9.48,broken clouds
538,Sobolevo,RU,54.4299,31.8996,55.99,79,100,3.89,light rain
539,Loding,NO,67.3,14.75,43.65,86,75,4.0,broken clouds
540,Provost,CA,52.3501,-110.2683,71.17,38,31,22.01,scattered clouds
541,Medicine Hat,CA,50.0501,-110.6683,70.21,44,61,5.01,broken clouds
542,Jeremie,HT,18.65,-74.1167,82.26,73,33,4.59,scattered clouds
543,Atasu,KZ,48.6814,71.6433,58.46,48,81,14.65,broken clouds
544,Tymovskoye,RU,50.8456,142.655,47.93,67,91,4.7,overcast clouds
545,Luanda,AO,-8.8368,13.2343,74.71,90,78,6.71,broken clouds
546,Salalah,OM,17.0151,54.0924,80.33,80,21,2.13,few clouds
547,Chake Chake,TZ,-5.2459,39.7666,75.06,82,35,9.93,scattered clouds
548,Srednekolymsk,RU,67.45,153.6833,56.5,26,61,18.52,broken clouds
549,Peniche,PT,39.3558,-9.3811,65.68,81,100,13.04,overcast clouds
550,Bang Saphan,TH,11.2126,99.5117,77.0,94,94,4.36,overcast clouds
551,Tabas,IR,33.5959,56.9244,81.39,25,11,3.33,few clouds
552,Iracoubo,GF,5.4802,-53.2011,75.92,94,100,9.1,light rain
553,Aksha,RU,50.2814,113.2867,42.06,55,7,3.06,clear sky
554,Sao Raimundo Nonato,BR,-9.0153,-42.6994,75.96,38,82,2.24,broken clouds
555,Saint-Francois,FR,46.4154,3.9054,51.24,93,0,2.3,clear sky
556,Moussoro,TD,13.6408,16.4901,87.91,10,22,2.95,few clouds
557,Kalangala,UG,-0.3089,32.225,74.77,61,69,5.75,broken clouds
558,Kingsland,US,30.8,-81.6898,91.53,56,60,1.01,broken clouds
559,Bend,US,44.0582,-121.3153,67.86,43,40,11.99,scattered clouds
560,Steinheim,DE,51.8707,9.0914,50.86,95,41,4.63,scattered clouds
561,Dhidhdhoo,MV,6.8833,73.1,81.99,79,62,20.8,broken clouds
562,Doha,QA,25.2867,51.5333,93.18,27,0,10.36,clear sky
563,Chapais,CA,49.7834,-74.8492,35.38,36,100,14.97,overcast clouds
564,Chandbali,IN,20.7833,86.7667,81.54,89,88,8.14,overcast clouds
565,Mungwi,ZM,-10.1732,31.3694,50.99,79,0,3.47,clear sky
566,Sabancuy,MX,18.9667,-91.1833,86.95,63,89,10.71,overcast clouds
567,Hay River,CA,60.8156,-115.7999,56.48,45,61,5.21,broken clouds
568,Port Lincoln,AU,-34.7333,135.8667,58.84,68,100,8.5,overcast clouds
569,La Asuncion,VE,11.0333,-63.8628,80.33,78,32,16.44,scattered clouds
570,Kiama,AU,-34.6833,150.8667,54.37,70,11,7.0,few clouds
571,Jishou,CN,28.3167,109.7167,67.91,89,100,2.04,overcast clouds
572,Saurimo,AO,-9.6608,20.3916,60.53,50,35,4.9,scattered clouds
573,Vila,PT,42.0304,-8.1588,59.74,83,99,1.54,overcast clouds
574,Kidal,ML,18.4411,1.4078,92.53,5,87,10.78,overcast clouds
575,Colombia,CU,20.9881,-77.4297,86.72,61,76,13.31,broken clouds
576,Itaituba,BR,-4.2761,-55.9836,80.38,60,36,3.0,scattered clouds
577,Prykolotne,UA,50.1604,37.3474,63.64,61,94,6.38,overcast clouds
578,Evanston,US,42.0411,-87.6901,55.4,81,90,4.0,overcast clouds
579,Ostrovskoye,RU,57.8057,42.2433,53.6,95,62,2.84,broken clouds
580,Stabat,ID,3.761,98.4513,77.2,91,98,2.62,overcast clouds
581,Synya,RU,65.3718,58.0387,33.66,73,72,3.98,broken clouds
582,Seduva,LT,55.7667,23.7667,48.63,93,23,6.22,few clouds
583,Cayeli,TR,41.0923,40.7292,61.84,75,37,2.42,scattered clouds
584,Cuamba,MZ,-14.8031,36.5372,57.33,72,0,3.0,clear sky
585,Verkhneye Kazanishche,RU,42.7355,47.1378,52.66,82,27,5.66,scattered clouds
586,Whittlesea,ZA,-32.1759,26.8244,56.62,42,71,8.7,broken clouds
587,Duldurga,RU,50.6761,113.5931,42.44,57,1,3.06,clear sky
588,Fare,PF,-16.7,-151.0167,80.31,71,36,11.32,scattered clouds
589,Quba,AZ,41.3626,48.5152,56.32,72,20,4.92,few clouds
590,Komsomolets,KZ,53.7453,62.0708,51.8,68,3,6.89,clear sky
591,Khair,IN,27.95,77.8333,85.15,47,6,8.72,clear sky
592,Maragogi,BR,-9.0122,-35.2225,76.96,77,82,9.46,broken clouds
593,Jabinyanah,TN,35.035,10.9081,68.58,74,42,7.67,scattered clouds
594,Eydhafushi,MV,5.1033,73.0708,82.11,79,99,22.35,overcast clouds
595,Port Blair,IN,11.6667,92.75,81.68,81,100,8.46,overcast clouds
596,Yaransk,RU,57.3033,47.8861,56.8,75,89,8.93,overcast clouds
597,Mahina,PF,-17.5065,-149.489,83.97,65,20,8.84,few clouds
598,Wanning,CN,18.8003,110.3967,81.57,87,90,8.52,overcast clouds
599,Nouadhibou,MR,20.931,-17.0347,64.38,82,0,17.27,clear sky
600,Fukue,JP,32.6881,128.8419,67.46,84,100,11.65,overcast clouds
601,El Nispero,HN,14.7667,-88.3333,86.61,66,92,3.04,overcast clouds
602,Riyadh,SA,24.6877,46.7219,91.45,8,0,8.05,clear sky
603,Gizo,SB,-8.103,156.8419,77.54,93,100,12.77,heavy intensity rain
604,Amga,RU,60.8953,131.9608,51.33,74,82,3.15,broken clouds
605,Ostersund,SE,63.1792,14.6357,46.85,57,17,5.75,few clouds
606,Quang Ngai,VN,15.1167,108.8,77.0,91,100,4.68,overcast clouds
607,Inhambane,MZ,-23.865,35.3833,67.21,71,0,5.21,clear sky
608,Mopipi,BW,-21.1833,24.8833,57.6,31,0,4.85,clear sky
609,Kolyshley,RU,52.7005,44.5367,56.3,77,36,5.53,scattered clouds
610,Ambilobe,MG,-13.2,49.05,68.76,92,9,2.46,clear sky
611,Atar,MR,20.5169,-13.0499,90.5,16,6,7.58,clear sky
612,Wanaka,NZ,-44.7,169.15,36.1,98,98,5.01,overcast clouds
613,Mizan Teferi,ET,6.9833,35.5833,61.54,95,79,1.83,broken clouds
614,La Grande,US,45.3246,-118.0877,75.51,43,93,13.82,overcast clouds
615,Ixtapa,MX,20.7,-105.2,93.54,32,45,7.94,scattered clouds
616,Qinzhou,CN,21.95,108.6167,80.38,86,82,2.01,broken clouds
617,Truckee,US,39.328,-120.1833,78.55,16,1,10.36,clear sky
618,Lodwar,KE,3.1191,35.5973,83.79,46,72,19.44,broken clouds
619,Helong,CN,42.5397,128.9972,52.25,72,100,2.68,overcast clouds
620,Nipawin,CA,53.3668,-104.0009,62.85,36,35,17.56,scattered clouds
621,Chara,RU,56.9064,118.2631,45.75,71,95,1.43,overcast clouds
622,Quatre Cocos,MU,-20.2078,57.7625,73.09,88,26,8.03,light rain
623,La Ronge,CA,55.1001,-105.2842,60.87,31,85,16.2,overcast clouds
624,Dunedin,NZ,-45.8742,170.5036,47.8,83,100,10.0,light rain
625,Belle Fourche,US,44.6714,-103.8522,56.5,82,99,5.19,overcast clouds
626,Khorramshahr,IR,30.4397,48.1664,84.16,34,0,2.3,clear sky
627,Novokizhinginsk,RU,51.6115,109.5917,39.96,63,22,1.92,few clouds
628,Deep River,CA,46.1001,-77.4995,55.44,26,34,11.14,scattered clouds
629,Berdigestyakh,RU,62.0989,126.6992,52.74,67,41,6.51,scattered clouds
630,Altamira,BR,-3.2033,-52.2064,79.93,63,64,2.01,broken clouds
631,Butler,US,39.4501,-84.5666,82.9,53,75,1.01,broken clouds
632,Salinopolis,BR,-0.6136,-47.3561,79.36,83,82,8.86,broken clouds
633,Kuching,MY,1.55,110.3333,79.02,94,20,1.14,few clouds
634,Verkh-Usugli,RU,52.7,115.1667,42.48,78,52,1.79,broken clouds
635,Thohoyandou,ZA,-22.9456,30.485,57.9,46,0,3.78,clear sky
636,Haapiti,PF,-17.5667,-149.8667,83.93,67,16,11.5,few clouds
637,Bichena,ET,10.45,38.2,62.85,40,88,1.92,overcast clouds
638,Adre,TD,13.4667,22.2,83.64,39,82,5.39,broken clouds
639,Campos Belos,BR,-13.0367,-46.7717,75.85,42,21,2.77,few clouds
640,Lucapa,AO,-8.4192,20.7447,65.32,46,23,4.0,few clouds
641,Marzuq,YE,14.4,46.4667,77.41,45,11,5.55,few clouds
642,Pemangkat,ID,1.1667,108.9667,78.04,88,47,4.03,scattered clouds
643,Chulman,RU,56.8479,124.9104,41.45,99,100,1.61,moderate rain
644,Aktash,RU,50.3,87.7333,46.74,59,63,4.63,broken clouds
645,Mukhtolovo,RU,55.4644,43.1953,60.6,80,95,5.39,overcast clouds
646,Hickory,US,35.7332,-81.3412,88.14,49,20,3.0,few clouds
647,Zhigansk,RU,66.7697,123.3711,47.8,69,8,19.28,clear sky
648,Kurilsk,RU,45.2333,147.8833,43.39,84,100,11.18,overcast clouds
649,Karema,TZ,-6.8205,30.4389,69.33,75,3,3.53,clear sky
650,Kumluca,TR,36.3703,30.2869,73.42,65,0,2.06,clear sky
651,Sistranda,NO,63.7256,8.834,46.36,81,15,17.2,few clouds
652,Hofn,IS,64.2539,-15.2082,43.11,75,99,10.16,overcast clouds
653,Luganville,VU,-15.5333,167.1667,75.79,59,79,2.01,broken clouds
654,Umm Lajj,SA,25.0213,37.2685,90.27,40,98,10.71,overcast clouds
655,Nova Olimpia,BR,-14.7972,-57.2881,80.89,51,23,2.1,few clouds
656,Kota Tinggi,MY,1.7381,103.8999,78.84,94,62,2.17,broken clouds
657,Kampen,NL,52.555,5.9111,50.05,88,1,6.04,clear sky
658,Dzhebariki-Khaya,RU,62.2167,135.8,57.47,41,31,1.86,scattered clouds
659,Phalombe,MW,-15.8064,35.6507,55.53,66,0,1.81,clear sky
660,Comodoro Rivadavia,AR,-45.8667,-67.5,53.08,50,91,13.33,overcast clouds
661,Novobataysk,RU,46.8981,39.7819,68.81,79,58,8.28,broken clouds
662,Dukat,RU,62.55,155.55,38.77,66,100,0.74,overcast clouds
663,Kuah,MY,6.3265,99.8432,83.39,73,100,5.01,overcast clouds
664,Bucerias,MX,20.75,-105.3333,89.01,43,39,8.57,scattered clouds
665,Genhe,CN,50.7833,121.5167,42.17,93,83,1.99,broken clouds
666,Moundsville,US,39.9203,-80.7431,79.16,53,98,5.75,overcast clouds
667,Emba,KZ,48.8264,58.1442,69.31,33,36,17.78,scattered clouds
668,Kholodnyy,RU,62.7167,147.95,50.59,49,100,17.22,overcast clouds
669,Beira,MZ,-19.8436,34.8389,65.46,75,0,5.17,clear sky
670,Rawson,AR,-43.3002,-65.1023,56.44,41,86,17.11,overcast clouds
671,Loukhi,RU,66.0764,33.0381,40.66,83,100,8.48,overcast clouds
672,Grand Gaube,MU,-20.0064,57.6608,73.38,78,5,3.0,light rain
673,Skjervoy,NO,70.0311,20.9714,41.31,82,100,22.64,overcast clouds
674,Palestine,PS,31.9216,35.2033,66.94,55,0,4.81,clear sky
675,Lazy,PL,50.35,19.4167,54.63,80,83,4.0,broken clouds
676,Nogliki,RU,51.8333,143.1667,40.21,82,100,6.44,overcast clouds
677,Kismayo,SO,-0.3582,42.5454,77.81,80,87,12.28,light rain
678,Chitral,PK,35.8462,71.7858,67.17,34,0,5.41,clear sky
679,Tolaga Bay,NZ,-38.3667,178.3,53.69,76,61,2.19,broken clouds
680,Tessalit,ML,20.1986,1.0114,93.67,5,95,11.01,overcast clouds
681,Gilgit,PK,35.9221,74.3087,69.84,40,2,3.09,clear sky
682,Broome,US,42.2506,-75.833,67.17,56,1,4.0,clear sky
683,Alim,PH,9.5649,122.4876,80.89,81,54,4.32,broken clouds
684,Bradford,GB,53.7939,-1.7521,55.62,87,100,2.46,overcast clouds
685,Hearst,CA,49.6835,-83.6665,49.21,24,34,8.32,scattered clouds
686,Praya,CV,14.9215,-23.5087,72.14,73,20,14.97,few clouds
687,Flin Flon,CA,54.7682,-101.865,61.14,26,99,13.51,overcast clouds
688,Bol,TD,13.4586,14.7147,84.13,38,44,6.58,scattered clouds
689,Aksu,CN,41.1231,80.2644,71.37,19,21,3.04,few clouds
690,Tailai,CN,46.3833,123.4,55.42,55,95,7.16,overcast clouds
691,Nishihara,JP,26.1842,127.7558,79.88,94,75,11.41,broken clouds
