,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Liku,ID,-0.7275,119.8922,75.34,93,26,4.16,scattered clouds
81,Mount Gambier,AU,-37.8333,140.7667,51.01,79,97,6.24,overcast clouds
82,Dingle,PH,10.9995,122.6711,79.29,85,96,3.51,overcast clouds
83,Bengkulu,ID,-3.8004,102.2655,76.62,89,99,3.62,overcast clouds
84,Cabinda,AO,-5.55,12.2,76.39,88,100,5.03,overcast clouds
85,Arlit,NE,18.7369,7.3853,90.28,8,79,4.9,broken clouds
86,Pisco,PE,-13.7,-76.2167,65.01,90,63,3.83,broken clouds
87,Nyzhnya Duvanka,UA,49.5846,38.1743,64.92,63,64,2.93,broken clouds
88,Ilulissat,GL,69.2167,-51.1,55.42,30,73,17.27,broken clouds
89,Walvis Bay,NA,-22.9575,14.5053,59.09,63,5,14.23,clear sky
90,Kavieng,PG,-2.5744,150.7967,81.23,83,100,14.18,light rain
91,Haines Junction,CA,60.7522,-137.5108,52.52,55,100,7.94,overcast clouds
92,Elko,US,41.0002,-115.5012,77.02,12,8,13.0,clear sky
93,Pedro Ii,BR,-4.4247,-41.4586,72.68,58,21,2.55,few clouds
94,Newport,GB,51.5877,-2.9984,57.24,77,100,4.45,overcast clouds
95,Abashiri,JP,44.0213,144.2697,48.2,98,100,4.38,moderate rain
96,Sar-E Pul,AF,35.8333,66.1667,66.51,33,98,2.51,overcast clouds
97,Coihaique,CL,-45.5752,-72.0662,41.61,93,90,3.44,light rain
98,Lompoc,US,34.6391,-120.4579,77.77,72,75,21.99,broken clouds
99,Provideniya,RU,64.3833,-173.3,44.71,57,0,11.18,clear sky
100,Ponta Do Sol,PT,32.6667,-17.1,65.03,59,44,4.25,scattered clouds
101,Sisimiut,GL,66.9395,-53.6735,39.24,79,89,5.88,overcast clouds
102,Beringovskiy,RU,63.05,179.3167,33.19,97,100,4.72,overcast clouds
103,Arys,KZ,42.4252,68.795,73.62,44,8,5.01,clear sky
104,Lagoa,PT,39.05,-27.9833,58.75,60,99,7.2,overcast clouds
105,Dinghai,CN,26.2847,119.7936,74.08,94,100,3.83,overcast clouds
106,Sao Joao Da Barra,BR,-21.6403,-41.0511,72.86,88,22,6.67,few clouds
107,Port Alfred,ZA,-33.5906,26.891,61.25,81,97,12.12,overcast clouds
108,Saskylakh,RU,71.9167,114.0833,30.18,79,82,4.72,broken clouds
109,San Carlos De Bariloche,AR,-41.1456,-71.3082,42.55,81,75,22.5,light rain
110,Sola,VU,-13.8833,167.55,77.49,61,93,8.81,overcast clouds
111,Henties Bay,NA,-22.116,14.2845,58.86,80,1,11.27,clear sky
112,Torbay,CA,47.6666,-52.7314,55.89,95,96,19.17,light rain
113,Thompson,CA,55.7435,-97.8558,58.96,19,100,10.02,overcast clouds
114,Korla,CN,41.7597,86.1469,73.47,16,52,1.14,broken clouds
