City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
267,Miami,US,85.98,broken clouds,25.7743,-80.1937,Miami Sun Hotel
275,Savannakhet,LA,77.41,overcast clouds,16.566,104.751,โรงแรม ริเวอร์ ฟร้อนท์
276,Kourou,GF,76.1,overcast clouds,5.1552,-52.6478,Lodge Takini 4
281,Waspan,NI,87.15,broken clouds,14.7419,-83.9717,Hostal casa de la rose
286,Takoradi,GH,80.58,broken clouds,4.8845,-1.7554,Raybow International Hotel
288,Aracati,BR,79.97,scattered clouds,-4.5617,-37.7697,Motel Pousada Milleniun - Aracati-CE
289,Banda Aceh,ID,81.14,overcast clouds,5.5577,95.3222,Sulthan Hotel International
293,Kavaratti,IN,83.16,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
295,Sumenep,ID,79.95,scattered clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
301,Tambun,ID,81.46,few clouds,-6.2641,107.0712,@HOM Premiere Tambun
306,Avarua,CK,84.25,broken clouds,-21.2078,-159.775,Paradise Inn
314,Port Hedland,AU,75.25,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
321,Los Alamos,US,79.36,scattered clouds,35.8881,-106.307,"Holiday Inn Express & Suites Los Alamos Entrada Park, an IHG Hotel"
324,Lamar,US,86.16,broken clouds,33.6668,-95.5836,Kings Inn Paris TX
326,Bonthe,SL,81.97,broken clouds,7.5264,-12.505,Bonthe Holiday Village
329,Puerto Escondido,MX,88.63,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
331,Salina,US,76.3,clear sky,38.8403,-97.6114,"Holiday Inn Express & Suites Salina, an IHG Hotel"
335,Soyo,AO,76.21,overcast clouds,-6.1349,12.3689,Hotel Mpampa
346,Padang,ID,77.23,overcast clouds,-0.9492,100.3543,Mercure Padang
349,Namatanai,PG,77.74,moderate rain,-3.6667,152.4333,Namatanai Hotel
351,Tiarei,PF,84.22,clear sky,-17.5333,-149.3333,Le Rocher de Tahiti
354,Panaba,MX,88.5,few clouds,21.2833,-88.2667,Posada rosario
357,Russell,US,85.96,overcast clouds,32.3502,-85.1999,Macs
361,Samarai,PG,78.91,overcast clouds,-10.6167,150.6667,Nuli Sapi
363,Makakilo City,US,84.61,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
364,Mana,GF,75.13,overcast clouds,5.6592,-53.7767,LE SAMANA
366,Neiafu,TO,79.48,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
369,Vanimo,PG,80.33,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
370,Ternate,ID,81.18,broken clouds,0.8,127.4,Grand Dafam Bela Ternate
373,Haltom City,US,89.89,broken clouds,32.7996,-97.2692,Hilton Garden Inn Fort Worth/Fossil Creek
383,Lazaro Cardenas,MX,87.21,overcast clouds,17.9583,-102.2,Hotel Quinta Antigua
390,Aparecida Do Taboado,BR,76.69,overcast clouds,-20.0867,-51.0936,Aritana
392,Tiruchchendur,IN,80.08,broken clouds,8.4833,78.1167,Hotel Udhayam International
393,Shelton,US,80.85,few clouds,41.3165,-73.0932,Hilton Garden Inn Shelton
396,Mubi,NG,85.01,broken clouds,10.2676,13.2644,Hotel
397,Cururupu,BR,76.53,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
399,Alacranes,CU,81.09,light rain,22.7675,-81.5675,Hotel Union de Reyes
404,Sorong,ID,77.77,broken clouds,-0.8833,131.25,waigo splash hotel
406,Itarema,BR,79.83,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
410,Aloleng,PH,83.82,broken clouds,16.1307,119.7824,Agno Umbrella Rocks
412,Nhulunbuy,AU,77.61,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
413,Bathsheba,BB,80.37,scattered clouds,13.2167,-59.5167,Atlantis Hotel
418,Almeirim,BR,78.4,broken clouds,-1.5233,-52.5817,Ricácio Hotel
421,Laguna,US,89.44,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
422,Pilar,BR,76.93,broken clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
427,Qui Nhon,VN,78.82,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
429,Alofi,NU,78.33,scattered clouds,-19.0595,-169.9187,Taloa Heights
435,Mayo,US,86.02,scattered clouds,38.8876,-76.5119,Resorts Resource Group International
437,Borba,BR,82.6,broken clouds,-4.3878,-59.5939,Hotel da Amazônia
438,Palakkodu,IN,75.22,clear sky,12.3,78.0833,Hotel Mayura Grand
443,Gorontalo,ID,75.69,few clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
444,Blackfoot,US,75.34,broken clouds,43.1905,-112.345,Super 8 by Wyndham Blackfoot
445,Banswara,IN,83.97,broken clouds,23.55,74.45,Deepak Hotel
448,Bacolod,PH,80.35,overcast clouds,10.6667,122.95,Planta Hotel & Residences
451,Guanica,PR,83.25,broken clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
456,Hambantota,LK,79.14,broken clouds,6.1241,81.1185,Bungalow 63
459,Union,US,84.11,clear sky,40.6334,-74.2663,Homewood Suites by Hilton Newark-Cranford
460,Axim,GH,80.82,broken clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
463,Touros,BR,77.9,clear sky,-5.1989,-35.4608,INN NEW HORIZON
467,Luwuk,ID,76.57,few clouds,-0.9516,122.7875,Hotel Santika Luwuk
470,La Cruz,MX,89.47,overcast clouds,23.9167,-106.9,LIBERADOR DE CELULAS MADRE ADULTAS
471,San Patricio,US,88.52,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
474,Beruwala,LK,80.22,overcast clouds,6.4788,79.9828,The Palms Hotel
482,Bac Lieu,VN,78.17,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
488,Sampit,ID,75.11,clear sky,-2.5333,112.95,Aquarius Boutique Hotel Sampit
489,Sao Jose Da Coroa Grande,BR,77.16,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
490,Lagunas,PE,82.85,overcast clouds,-5.2269,-75.6753,Hospedaje Eco
494,Acarau,BR,79.99,few clouds,-2.8856,-40.12,castelo pizzaria
497,Marmato,CO,75.04,broken clouds,5.4784,-75.5927,Hotel El Guadual
501,Gamboma,CG,78.44,overcast clouds,-1.8764,15.8644,Residence N'Keni
502,Labuhan,ID,77.49,light rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
506,Marsh Harbour,BS,77.76,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
507,Bartica,GY,79.12,light rain,6.4,-58.6167,Relax Inn Hotel
508,Madang,PG,77.83,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
514,Kalmunai,LK,79.12,scattered clouds,7.4167,81.8167,VS Villa
518,Formosa Do Rio Preto,BR,75.07,scattered clouds,-11.0483,-45.1931,Porto Center Hotel
519,Garowe,SO,77.88,overcast clouds,8.4054,48.4845,Curubo Hotel
521,Sibolga,ID,76.66,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
523,Lufilufi,WS,87.58,few clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
524,Ratnagiri,IN,84.0,overcast clouds,16.9833,73.3,Hotel Landmark
529,Wajir,KE,77.74,overcast clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
534,Dwarka,IN,83.77,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
536,Katobu,ID,76.33,broken clouds,-4.9408,122.5276,La Ode Husein
537,Maceio,BR,78.24,broken clouds,-9.6658,-35.7353,Poutur Pousada
542,Jeremie,HT,82.26,scattered clouds,18.65,-74.1167,Auberge’Inn
546,Salalah,OM,80.33,few clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
547,Chake Chake,TZ,75.06,scattered clouds,-5.2459,39.7666,Hotel Archipelago
550,Bang Saphan,TH,77.0,overcast clouds,11.2126,99.5117,Ladawan Boutique Hotel
551,Tabas,IR,81.39,few clouds,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
552,Iracoubo,GF,75.92,light rain,5.4802,-53.2011,Le Gite D Iracoubo
554,Sao Raimundo Nonato,BR,75.96,broken clouds,-9.0153,-42.6994,Real Hotel
556,Moussoro,TD,87.91,few clouds,13.6408,16.4901,Pharmacie alnadja Moussoro
561,Dhidhdhoo,MV,81.99,broken clouds,6.8833,73.1,Dhidhoo beach
564,Chandbali,IN,81.54,overcast clouds,20.7833,86.7667,KABITA HOMES
566,Sabancuy,MX,86.95,overcast clouds,18.9667,-91.1833,pulpo
569,La Asuncion,VE,80.33,scattered clouds,11.0333,-63.8628,Colinas de Matasiete
575,Colombia,CU,86.72,broken clouds,20.9881,-77.4297,Casa Lazara y Pupi
576,Itaituba,BR,80.38,scattered clouds,-4.2761,-55.9836,Hotel Campos
580,Stabat,ID,77.2,overcast clouds,3.761,98.4513,Link VII damai
